"","V4","total"
"1","@realDonaldTrump",14106218
"2","@realdonaldtrump",7159966
"3","@mippcivzla",4235021
"4","@joebiden",3497929
"5","@narendramodi",3303595
"6","@potus",2158971
"7","@JoeBiden",1901092
"8","@drericding",1408244
"9","@manuelrico",1206270
"10","@vtvcanal8",1095019
"11","@rwmalonemd",982973
"12","@disclosetv",936688
"13","@nicolasmaduro",916895
"14","@DrRPNishank",872180
"15","@btstwt",834335
"16","@kkmputrajaya",780980
"17","@aoc",729010
"18","@drdavidsamadi",699038
"19","@CNN",679706
"20","@jackposobiec",656383
"21","@elonmusk",630601
"22","@kamalaharris",604068
"23","@occupydemocrats",579268
"24","@LicypriyaK",579101
"25","@ProjectLincoln",535328
"26","@realcandaceo",518218
"27","@WHO",517395
"28","@pmoindia",517037
"29","@kylegriffin1",480448
"30","@rahulgandhi",471582
"31","@petersweden7",453135
"32","@drelidavid",437990
"33","@variant",395910
"34","@delta",355388
"35","@RealJamesWoods",355196
"36","@unicef",328965
"37","@NYGovCuomo",321033
"38","@Swamy39",319706
"39","@charliekirk11",308279
"40","@drsimonegold",302104
"41","@BarackObama",273669
"42","@DrTedros",266338
"43","@govrondesantis",262482
"44","@flotus",259076
"45","@nytimes",238596
"46","@BernieSanders",234491
"47","@faheemyounus",234224
"48","@OHmes2",227711
"49","@ConflitsFR",224356
"50","@justintrudeau",216989
"51","@michaelpsenger",213870
"52","@claytravis",209284
"53","@drrpnishank",207663
"54","@KamalaHarris",207473
"55","@Ibraofficial",207316
"56","@cdcgov",204343
"57","@manopsi",201179
"58","@lopezobrador",200326
"59","@repthomasmassie",200240
"60","@rexchapman",193994
"61","@tarak9999",191674
"62","@rbreich",179147
"63","@spectatorindex",176768
"64","@dghisham",176500
"65","@donaldjtrumpjr",172346
"66","@chuckcallesto",172146
"67","@borisjohnson",171559
"68","@zornitsaxx",166814
"69","@RealCandaceO",164374
"70","@AOC",163899
"71","@donwinslow",156544
"72","@BrynnTannehill",154632
"73","@robroos",153983
"74","@skaijackson",152123
"75","@ohmes2",151758
"76","@PMOIndia",149552
"77","@sheriantoinette",148799
"78","@jimjordan",145261
"79","@BTStwt",144579
"80","@angelicaxval",144571
"81","@gregabbotttx",143210
"82","@MikelJollett",143077
"83","@funder",142855
"84","@suthichai",142445
"85","@RahulGandhi",142265
"86","@mmpadellan",138604
"87","@usfda",136748
"88","@stfunell",134474
"89","@samiam2021md",133051
"90","@ASlavitt",131967
"91","@tedlieu",131829
"92","@biondiewasabi",130084
"93","@mediavenir",128194
"94","@bnodesk",127603
"95","@projectlincoln",127103
"96","@AISAtweets",126978
"97","@ossoff",125079
"98","@brian2grimey",124714
"99","@KKMPutrajaya",124210
"100","@un",123427
"101","@chartsk",121636
"102","@yzngangel",121432
"103","@unicefchief",121252
"104","@randpaul",118608
"105","@stevenzequ",115899
"106","@gma",114580
"107","@wewantMor",114172
"108","@KILLBILLEVOL1",113243
"109","@nickiminaj",112932
"110","@Fayemous",112354
"111","@theogdc",111126
"112","@ani",110586
"113","@who",109386
"114","@demetriachavon",108476
"115","@repkatieporter",107733
"116","@mxwxzz",107030
"117","@catturd2",105436
"118","@bgluckman",105157
"119","@lindseygrahamsc",104396
"120","@danamoralesss",104297
"121","@imrankhanpti",103796
"122","@realjameswoods",103715
"123","@rekszn",103570
"124","@wendizzle",103011
"125","@btsbighit",101645
"126","@mhdksafa",101218
"127","@theepex",100835
"128","@BT21",99262
"129","@riotwaltz",98842
"130","@clownlito",98827
"131","@rterdogan",96787
"132","@miriamh13",96246
"133","@repjayapal",95344
"134","@505eunice",94156
"135","@rudygiuliani",93908
"136","@doctoroxford",93523
"137","@khunneung137",92718
"138","@jocehfk",91342
"139","@ZackBornstein",90997
"140","@eugenegu",90932
"141","@bighitent",90380
"142","@curtisisbooger",90000
"143","@Abdulmir19",89834
"144","@theprincedylan",89725
"145","@RJXXIV",89499
"146","@andrewshuk2112",89218
"147","@CamealAshley",89004
"148","@migizikwe",88989
"149","@nickwiger",88927
"150","@HeavenSentMel",87053
"151","@SrBachchan",86853
"152","@MatthewACherry",86599
"153","@allareblessed",86382
"154","@barackobama",86335
"155","@JackPosobiec",86043
"156","@whitehouse",85995
"157","@intothebrush",85848
"158","@moonriver365",85717
"159","@washikirei",85241
"160","@buhrooke",83531
"161","@zubymusic",82908
"162","@alsoto7",82605
"163","@sugaplumami",82555
"164","@yagirlkat",82238
"165","@naomusiker",80809
"166","@emaperidol",80555
"167","@KyleKulinski",80390
"168","@llinwood",80278
"169","@Tgiferb",80271
"170","@BrianduNord",80022
"171","@SandeepSaurav",79285
"172","@offchainon",79245
"173","@danrather",78988
"174","@tuckercarlson",78954
"175","@alfredodelmazo",78772
"176","@cnn",78260
"177","@pfizer",78205
"178","@maddow",77894
"179","@danpriceseattle",77831
"180","@emilykrebs6",77657
"181","@itsdryx",77638
"182","@aginnt",77254
"183","@erictile",76850
"184","@choloabel",76668
"185","@jrnalll",76585
"186","@jodidoering",76477
"187","@jenniferjjacobs",76472
"188","@DatMichCray",75982
"189","@jessekellydc",75969
"190","@khetithegreat",75908
"191","@ilneroback",75859
"192","@CoachJustice10",75769
"193","@goldoveries",75664
"194","@hlgatell",74986
"195","@mrgoya01",74980
"196","@berniespofforth",74970
"197","@cxrpxe",74751
"198","@valeriatapia",74439
"199","@marinarasawce",74292
"200","@fvrnandaa",74281
"201","@JudahTheSimp",74141
"202","@alanaauston",73817
"203","@craigaspencer",73375
"204","@matthancock",72734
"205","@officialplt",72343
"206","@f8th",72293
"207","@lexilulu",71668
"208","@draseemmalhotra",71601
"209","@saysthefox",71460
"210","@tristansnell",71293
"211","@pompomcoffee",71290
"212","@jennidigital",70537
"213","@bassbarbie182",70150
"214","@haruharuwbts",69529
"215","@berniesanders",69204
"216","@KanganaTeam",69070
"217","@BorisJohnson",69044
"218","@stephenking",68939
"219","@DanRather",68297
"220","@siwuol",67330
"221","@joshuapotash",67298
"222","@paulsperry",67269
"223","@kingdeficit",67178
"224","@dcmadness202",66997
"225","@kirawontmiss",66982
"226","@zachnm",66891
"227","@jodipicoult",66852
"228","@ishathepoet",66814
"229","@jnyjinjin",66452
"230","@MK813",66328
"231","@kiranxx",66067
"232","@drtedros",66042
"233","@oscaardiaz",65958
"234","@ellorysmith",65693
"235","@kicchasudeep",65462
"236","@chancsmith",65229
"237","@vp",64930
"238","@forensictoxguy",64927
"239","@Loeybug",64753
"240","@mitsurutenma",64497
"241","@jemelehill",64321
"242","@thebradfordfile",64128
"243","@essexpr",64048
"244","@jamesmelville",63944
"245","@bcraigv",63819
"246","@gmmtv",63374
"247","@eyekon131",63249
"248","@danhaelle",63199
"249","@birdexecutive",63086
"250","@nyshuffler",62918
"251","@DaniOliver",62577
"252","@sajidjavid",62405
"253","@emresus",62369
"254","@JJMaples55MST",62326
"255","@choibts2",62247
"256","@joncoopertweets",62239
"257","@noliewithbtc",62073
"258","@PlainJanie",61957
"259","@abcdrih",61923
"260","@DGHisham",61892
"261","@edmcupid",61757
"262","@stellaimmanuel",61735
"263","@antonioguterres",61721
"264","@briantylercohen",61627
"265","@kynjoy",61484
"266","@radseed",61457
"267","@danaoneika",61075
"268","@volinxx",60986
"269","@processic",60950
"270","@nicolecoyle5",60693
"271","@diayannna",60577
"272","@mkstalin",60532
"273","@hhsgov",60481
"274","@Ixyaaa",59754
"275","@Toniob38",59561
"276","@zackbornstein",59548
"277","@BladeHalll",59272
"278","@jeremyfaust",59214
"279","@KBSeauxluxe",59064
"280","@blendben",58776
"281","@thegallowboob",58535
"282","@bessbell",58334
"283","@yoyotrav",58174
"284","@joerogan",58158
"285","@adoraIbe",58080
"286","@sebgorka",58053
"287","@PiyushGoyal",58001
