"","V1","V2","V3"
"1","2022_10_28_00","ar",8
"2","2022_10_28_00","ca",12
"3","2022_10_28_00","cs",7
"4","2022_10_28_00","cy",1
"5","2022_10_28_00","da",10
"6","2022_10_28_00","de",73
"7","2022_10_28_00","el",14
"8","2022_10_28_00","en",16307
"9","2022_10_28_00","es",2308
"10","2022_10_28_00","et",6
"11","2022_10_28_00","eu",1
"12","2022_10_28_00","fa",7
"13","2022_10_28_00","fi",1
"14","2022_10_28_00","fr",524
"15","2022_10_28_00","hi",15
"16","2022_10_28_00","ht",4
"17","2022_10_28_00","hu",3
"18","2022_10_28_00","in",281
"19","2022_10_28_00","it",70
"20","2022_10_28_00","iw",1
"21","2022_10_28_00","ja",665
"22","2022_10_28_00","ko",19
"23","2022_10_28_00","lt",2
"24","2022_10_28_00","mr",1
"25","2022_10_28_00","nl",21
"26","2022_10_28_00","no",10
"27","2022_10_28_00","pl",17
"28","2022_10_28_00","pt",1040
"29","2022_10_28_00","ro",17
"30","2022_10_28_00","ru",2
"31","2022_10_28_00","sv",5
"32","2022_10_28_00","ta",1
"33","2022_10_28_00","th",42
"34","2022_10_28_00","tl",95
"35","2022_10_28_00","tr",23
"36","2022_10_28_00","und",286
"37","2022_10_28_00","vi",3
"38","2022_10_28_00","zh",59
"39","2022_10_28_01","bn",1
"40","2022_10_28_01","ca",5
"41","2022_10_28_01","cs",4
"42","2022_10_28_01","cy",1
"43","2022_10_28_01","da",7
"44","2022_10_28_01","de",73
"45","2022_10_28_01","el",2
"46","2022_10_28_01","en",18374
"47","2022_10_28_01","es",2156
"48","2022_10_28_01","et",10
"49","2022_10_28_01","eu",1
"50","2022_10_28_01","fi",15
"51","2022_10_28_01","fr",470
"52","2022_10_28_01","hi",39
"53","2022_10_28_01","ht",14
"54","2022_10_28_01","in",301
"55","2022_10_28_01","it",78
"56","2022_10_28_01","ja",603
"57","2022_10_28_01","kn",1
"58","2022_10_28_01","ko",27
"59","2022_10_28_01","lt",5
"60","2022_10_28_01","nl",9
"61","2022_10_28_01","no",2
"62","2022_10_28_01","pl",8
"63","2022_10_28_01","pt",2089
"64","2022_10_28_01","ro",27
"65","2022_10_28_01","ru",12
"66","2022_10_28_01","sv",5
"67","2022_10_28_01","ta",1
"68","2022_10_28_01","th",69
"69","2022_10_28_01","tl",88
"70","2022_10_28_01","tr",13
"71","2022_10_28_01","uk",5
"72","2022_10_28_01","und",287
"73","2022_10_28_01","vi",4
"74","2022_10_28_01","zh",35
"75","2022_10_28_02","ar",10
"76","2022_10_28_02","ca",8
"77","2022_10_28_02","cs",4
"78","2022_10_28_02","da",8
"79","2022_10_28_02","de",51
"80","2022_10_28_02","el",10
"81","2022_10_28_02","en",19906
"82","2022_10_28_02","es",1899
"83","2022_10_28_02","et",6
