"","Year","Month","Text","Count"
"1","2020",2,"imss",1811
"2","2020",2,"noestoyperdon",1714
"3","2020",2,"china",1679
"4","2020",2,"oms",1546
"5","2020",2,"chaira",1098
"6","2020",4,"gobierno",9444
"7","2020",4,"oms",7319
"8","2020",4,"ginesggarcia",6608
"9","2020",4,"anlis",6140
"10","2020",4,"imss",5047
"11","2020",6,"oms",20054
"12","2020",6,"gobierno",11468
"13","2020",6,"ricarospina",8254
"14","2020",6,"españa",4084
"15","2020",6,"hlgatell",3927
"16","2020",7,"covid",6248
"17","2020",7,"gobierno",5067
"18","2020",7,"estado",4965
"19","2020",7,"sinescritoss",3780
"20","2020",7,"adidas",3504
"21","2020",8,"covid",6740
"22","2020",8,"mippcivzla",6112
"23","2020",8,"gobierno",5678
"24","2020",8,"gnb",5426
"25","2020",8,"oms",3567
"26","2020",9,"gobierno",42446
"27","2020",9,"mippcivzla",29615
"28","2020",9,"covid",19364
"29","2020",9,"anvac",14618
"30","2020",9,"asociación nacional de víctimas y afectados por coronavirus",9132
"31","2020",11,"mippcivzla",15625
"32","2020",11,"gobierno",7487
"33","2020",11,"covid",7149
"34","2020",11,"pfizer",5127
"35","2020",11,"gnb",3433
"36","2020",12,"mippcivzla",19900
"37","2020",12,"gobierno",8673
"38","2020",12,"covid",4670
"39","2020",12,"venezuela",4655
"40","2020",12,"conelmazodando",4605
"41","2021",1,"mippcivzla",122215
"42","2021",1,"vtvcanal8",84037
"43","2021",1,"covid",58758
"44","2021",1,"auronplay",52697
"45","2021",1,"gobierno",19501
"46","2021",2,"mippcivzla",77024
"47","2021",2,"oms",43580
"48","2021",2,"vtvcanal8",40642
"49","2021",2,"covid",14207
"50","2021",2,"julifaita",14051
"51","2021",3,"mippcivzla",192492
"52","2021",3,"vtvcanal8",105390
"53","2021",3,"gobierno",32145
"54","2021",3,"covid",27101
"55","2021",3,"oms",20888
"56","2021",4,"mippcivzla",462102
"57","2021",4,"vtvcanal8",289962
"58","2021",4,"covid",124716
"59","2021",4,"venezuela",75642
"60","2021",4,"unidosenprevención",40729
"61","2021",5,"mippcivzla",53714
"62","2021",5,"covid",46100
"63","2021",5,"vtvcanal8",24728
"64","2021",5,"river",23488
"65","2021",5,"gobierno",17543
"66","2021",6,"covid",13664
"67","2021",6,"laprofe",12419
"68","2021",6,"hlgatell",7950
"69","2021",6,"gobierno",6990
"70","2021",6,"cuba",6881
"71","2021",7,"covid",76085
"72","2021",7,"uci",32639
"73","2021",7,"gobierno",31732
"74","2021",7,"pfizer",29450
"75","2021",7,"mianrey",23120
"76","2021",8,"covid",74809
"77","2021",8,"hlgatell",23489
"78","2021",8,"vtvcanal8",16306
"79","2021",8,"oms",14637
"80","2021",8,"uci",13808
"81","2021",9,"covid",21699
"82","2021",9,"hlgatell",16890
"83","2021",9,"corona",16069
"84","2021",9,"vtvcanal8",14355
"85","2021",9,"mippcivzla",7447
"86","2021",10,"covid",43044
"87","2021",10,"corona",18702
"88","2021",10,"pfizer",17021
"89","2021",10,"vtvcanal8",13230
"90","2021",10,"gobierno",11551
"91","2021",11,"oms",92516
"92","2021",11,"corona",68302
"93","2021",11,"alertanews24",58006
"94","2021",11,"pfizer",55763
"95","2021",11,"gobierno ayuso",40891
"96","2021",12,"gobierno ayuso",126560
"97","2021",12,"covid",97613
"98","2021",12,"alertanews24",80011
"99","2021",12,"oms",54269
"100","2021",12,"vox",36957
"101","2022",1,"covid",223445
"102","2022",1,"gobierno ayuso",125656
"103","2022",1,"vtvcanal8",54199
"104","2022",1,"oms",26746
"105","2022",1,"hlgatell",26399
"106","2022",2,"gobierno ayuso",141498
"107","2022",2,"vtvcanal8",48096
"108","2022",2,"covid",38809
"109","2022",2,"rusia",32763
"110","2022",2,"hlgatell",31500
"111","2022",3,"gobierno ayuso",118103
"112","2022",3,"vtvcanal8",65155
"113","2022",3,"bts",19862
"114","2022",3,"covid",13418
"115","2022",3,"oms",12747
"116","2022",4,"gobierno ayuso",79954
"117","2022",4,"covid",26790
"118","2022",4,"vtvcanal8",21654
"119","2022",4,"pfizer",18986
"120","2022",4,"bts",18207
"121","2022",5,"gobierno ayuso",118328
"122","2022",5,"oms",33502
"123","2022",5,"vtvcanal8",30648
"124","2022",5,"covid",17824
"125","2022",5,"unam",17219
"126","2022",6,"gobierno ayuso",132199
"127","2022",6,"covid",29915
"128","2022",6,"vtvcanal8",25044
"129","2022",6,"mippcivzla",10243
"130","2022",6,"gnb",7803
"131","2022",7,"vtvcanal8",29573
"132","2022",7,"gobierno ayuso",26995
"133","2022",7,"covid",4510
"134","2022",7,"pfizer",2158
"135","2022",7,"librealbedrio26",2101
"136","2022",8,"vtvcanal8",52452
"137","2022",8,"gobierno ayuso",32814
"138","2022",8,"mippcivzla",7574
"139","2022",8,"meruanista",4480
"140","2022",8,"charovargas",4404
"141","2022",9,"vtvcanal8",119060
"142","2022",9,"gobierno ayuso",100667
"143","2022",9,"gnb",12608
"144","2022",9,"mippcivzla",8351
"145","2022",9,"fanb",8330
"146","2022",10,"gobierno ayuso",91084
"147","2022",10,"vtvcanal8",67459
"148","2022",10,"pfizer",53176
"149","2022",10,"parlamento europeo",12951
"150","2022",10,"covid",4943
"151","delcyrodriguezv",560,"",0
