"","Year","Month","Text","Count"
"1",2020,2,"coronavirus",366794
"2",2020,2,"democrats",90790
"3",2020,2,"americans",67294
"4",2020,2,"chinese",46323
"5",2020,2,"american",32624
"6",2020,7,"covid-19",92036
"7",2020,7,"americans",52278
"8",2020,7,"coronavirus",48193
"9",2020,7,"ci",36370
"10",2020,7,"chinese",30551
"11",2020,12,"covid-19",208564
"12",2020,12,"covid",186053
"13",2020,12,"americans",138592
"14",2020,12,"american",95725
"15",2020,12,"grey’s anatomy",66581
"16",2021,1,"covid-19",82827
"17",2021,1,"covid",52825
"18",2021,1,"covid19",30682
"19",2021,1,"americans",23517
"20",2021,1,"fauci ouchie",13096
"21",2021,2,"covid",227507
"22",2021,2,"covid-19",227173
"23",2021,2,"americans",156145
"24",2021,2,"republicans",118575
"25",2021,2,"republican",35251
"26",2021,4,"covid-19",98662
"27",2021,4,"covid",77312
"28",2021,4,"covid19",36631
"29",2021,4,"indian",31090
"30",2021,4,"americans",14041
"31",2021,5,"covid",190723
"32",2021,5,"covid-19",164027
"33",2021,5,"covid19",68299
"34",2021,5,"indian",60194
"35",2021,5,"chinese",26999
"36",2021,6,"covid",94805
"37",2021,6,"covid-19",73315
"38",2021,6,"covid19",30194
"39",2021,6,"indian",18451
"40",2021,6,"american",12331
"41",2021,7,"covid",1291987
"42",2021,7,"covid-19",1006667
"43",2021,7,"covid19",371320
"44",2021,7,"americans",331797
"45",2021,7,"republicans",80464
"46",2021,8,"covid",1326144
"47",2021,8,"covid-19",908441
"48",2021,8,"americans",300543
"49",2021,8,"covid19",263207
"50",2021,8,"republican",133486
"51",2021,9,"covid",158865
"52",2021,9,"covid-19",131934
"53",2021,9,"americans",43819
"54",2021,9,"covid19",42471
"55",2021,9,"south korean",29704
"56",2021,10,"covid",213557
"57",2021,10,"covid-19",174336
"58",2021,10,"americans",49404
"59",2021,10,"covid19",41712
"60",2021,10,"floridians",9615
"61",2021,11,"covid",1462841
"62",2021,11,"covid-19",917084
"63",2021,11,"omicron",306668
"64",2021,11,"covid19",294246
"65",2021,11,"americans",269042
"66",2021,12,"covid",2308101
"67",2021,12,"covid-19",1102009
"68",2021,12,"omicron",1101718
"69",2021,12,"americans",340571
"70",2021,12,"covid19",179003
"71",2022,1,"covid",2807435
"72",2022,1,"covid-19",1164356
"73",2022,1,"omicron",551405
"74",2022,1,"americans",417726
"75",2022,1,"covid19",381164
"76",2022,2,"covid",1379227
"77",2022,2,"covid-19",634048
"78",2022,2,"americans",198924
"79",2022,2,"canadian",162034
"80",2022,2,"russian",89385
"81",2022,3,"covid",1088026
"82",2022,3,"covid-19",658899
"83",2022,3,"americans",207425
"84",2022,3,"russian",101573
"85",2022,3,"covid19",100775
"86",2022,4,"covid",971083
"87",2022,4,"covid-19",440068
"88",2022,4,"americans",117604
"89",2022,4,"covid19",71449
"90",2022,4,"chinese",69623
"91",2022,5,"covid",749061
"92",2022,5,"covid-19",352526
"93",2022,5,"americans",155958
"94",2022,5,"who",133505
"95",2022,5,"monkeypox",112934
"96",2022,6,"covid",648964
"97",2022,6,"covid-19",331237
"98",2022,6,"covid19",79621
"99",2022,6,"americans",79295
"100",2022,6,"olympics",38279
"101",2022,7,"covid",257273
"102",2022,7,"covid-19",117186
"103",2022,7,"americans",34830
"104",2022,7,"monkeypox",18837
"105",2022,7,"hiv",8711
"106",2022,8,"covid",211361
"107",2022,8,"covid-19",94133
"108",2022,8,"americans",25194
"109",2022,8,"monkeypox",14816
"110",2022,8,"new yorkers",11069
"111",2022,9,"covid",572325
"112",2022,9,"covid-19",308792
"113",2022,9,"americans",69750
"114",2022,9,"ethiopian",51688
"115",2022,9,"american",36359
"116",2022,10,"covid",601538
"117",2022,10,"covid-19",244583
"118",2022,10,"republicans",69888
"119",2022,10,"americans",44717
"120",2022,10,"democrats",40419
"121",2022,11,"covid",31190
"122",2022,11,"covid-19",8681
"123",2022,11,"chinese",4030
"124",2022,11,"measles",3256
"125",2022,11,"irish",2301
