"","Year","Month","Day","Text","Count"
"1",2020,2,29,"trump",305605
"2",2020,2,29,"mike pence",25703
"3",2020,2,29,"lewis",23978
"4",2020,2,29,"donald trump",16482
"5",2020,2,29,"anthony fauci",14583
"6",2020,7,17,"trump",123099
"7",2020,7,17,"bozo",36420
"8",2020,7,17,"covid",27607
"9",2020,7,17,"johnson",22498
"10",2020,7,17,"fauci",22022
"11",2020,12,17,"trump",68684
"12",2020,12,17,"ian mckellen",29759
"13",2020,12,17,"covid",22989
"14",2020,12,17,"david perdue",16910
"15",2020,12,17,"biden",15326
"16",2020,12,22,"trump",48839
"17",2020,12,22,"mitch mcconnell",25774
"18",2020,12,22,"covid",25507
"19",2020,12,22,"biden",24596
"20",2020,12,22,"god",19868
"21",2021,1,23,"biden",156012
"22",2021,1,23,"joe biden",51275
"23",2021,1,23,"trump",34878
"24",2021,1,23,"covid",27965
"25",2021,1,23,"fauci",22464
"26",2021,2,3,"biden",65092
"27",2021,2,3,"covid",20405
"28",2021,2,3,"trump",14886
"29",2021,2,3,"jeff bezos",14624
"30",2021,2,3,"dido harding",14248
"31",2021,2,5,"biden",71777
"32",2021,2,5,"kamalaharris",41990
"33",2021,2,5,"kamala harris",34566
"34",2021,2,5,"covid",17888
"35",2021,2,5,"trump",17749
"36",2021,2,8,"biden",33557
"37",2021,2,8,"ron wright",23570
"38",2021,2,8,"covid",23074
"39",2021,2,8,"trump",17340
"40",2021,2,8,"tom brady",14840
"41",2021,2,20,"matt hancock",45816
"42",2021,2,20,"biden",33320
"43",2021,2,20,"covid",13689
"44",2021,2,20,"trump",13637
"45",2021,2,20,"cuomo",11362
"46",2021,4,23,"covid",36414
"47",2021,4,23,"modi",21724
"48",2021,4,23,"biden",21391
"49",2021,4,23,"trump",15470
"50",2021,4,23,"ron johnson",13016
"51",2021,5,1,"covid",42768
"52",2021,5,1,"modi",37511
"53",2021,5,1,"biden",19210
"54",2021,5,1,"trump",10360
"55",2021,5,1,"narendra modi",9548
"56",2021,5,9,"covid",27277
"57",2021,5,9,"modi",25530
"58",2021,5,9,"sant shri asharamji bapu",12028
"59",2021,5,9,"fauci",11370
"60",2021,5,9,"biden",8274
"61",2021,5,11,"covid",27425
"62",2021,5,11,"fauci",20126
"63",2021,5,11,"biden",11505
"64",2021,5,11,"anthony fauci",11481
"65",2021,5,11,"tucker carlson",7290
"66",2021,6,12,"covid",18868
"67",2021,6,12,"johnson",10934
"68",2021,6,12,"ron johnson",9968
"69",2021,6,12,"biden",8997
"70",2021,6,12,"rich",8611
"71",2021,6,30,"covid",23783
"72",2021,6,30,"trump",9469
"73",2021,6,30,"biden",7717
"74",2021,6,30,"fauci",7491
"75",2021,6,30,"morrison",5783
"76",2021,7,4,"covid",31638
"77",2021,7,4,"biden",13719
"78",2021,7,4,"sajid javid",11362
"79",2021,7,4,"javid",6453
"80",2021,7,4,"trump",6011
"81",2021,7,8,"covid",35301
"82",2021,7,8,"biden",19211
"83",2021,7,8,"boris johnson",14977
"84",2021,7,8,"trump",9100
"85",2021,7,8,"covid-19",6143
"86",2021,7,9,"covid",35055
"87",2021,7,9,"biden",12167
"88",2021,7,9,"boris johnson",6468
"89",2021,7,9,"trump",5885
"90",2021,7,9,"johnson",4690
"91",2021,7,10,"covid",34635
"92",2021,7,10,"biden",8934
"93",2021,7,10,"dawei",8003
"94",2021,7,10,"fox",5133
"95",2021,7,10,"trump",4605
"96",2021,7,16,"covid",42390
"97",2021,7,16,"biden",28532
"98",2021,7,16,"boris johnson",12169
"99",2021,7,16,"chris whitty",11542
"100",2021,7,16,"walensky",10157
"101",2021,7,18,"covid",65274
"102",2021,7,18,"biden",20403
"103",2021,7,18,"boris johnson",20316
"104",2021,7,18,"johnson",11389
"105",2021,7,18,"fauci",9537
"106",2021,7,20,"covid",70143
"107",2021,7,20,"fauci",49754
"108",2021,7,20,"marjorie taylor greene",28174
"109",2021,7,20,"boris johnson",22297
"110",2021,7,20,"biden",22245
"111",2021,7,21,"covid",57303
"112",2021,7,21,"fauci",49402
"113",2021,7,21,"biden",16101
"114",2021,7,21,"rand paul",11077
"115",2021,7,21,"trump",10131
"116",2021,7,22,"covid",59448
"117",2021,7,22,"biden",37305
"118",2021,7,22,"fauci",20527
"119",2021,7,22,"eric clapton",19298
"120",2021,7,22,"joe biden",17086
"121",2021,7,23,"covid",55606
"122",2021,7,23,"biden",21928
"123",2021,7,23,"kay ivey",16135
"124",2021,7,23,"fauci",13708
"125",2021,7,23,"trump",11689
"126",2021,7,26,"covid",52695
"127",2021,7,26,"biden",33809
"128",2021,7,26,"fauci",25582
"129",2021,7,26,"desantis",15472
"130",2021,7,26,"trump",10812
"131",2021,7,27,"covid",48904
"132",2021,7,27,"biden",32552
"133",2021,7,27,"fauci",19150
"134",2021,7,27,"simone biles",7806
"135",2021,7,27,"trump",7631
"136",2021,7,28,"covid",64872
"137",2021,7,28,"biden",39387
"138",2021,7,28,"simone biles’",23527
"139",2021,7,28,"fauci",21204
"140",2021,7,28,"simone biles",16362
"141",2021,7,29,"biden",75767
"142",2021,7,29,"covid",63625
"143",2021,7,29,"fauci",26404
"144",2021,7,29,"pelosi",16011
"145",2021,7,29,"trump",9192
"146",2021,7,30,"covid",76618
"147",2021,7,30,"biden",71362
"148",2021,7,30,"pelosi",16443
"149",2021,7,30,"joe biden",15874
"150",2021,7,30,"fauci",13150
"151",2021,7,31,"covid",66762
"152",2021,7,31,"biden",24156
"153",2021,7,31,"joe biden",10196
"154",2021,7,31,"ron desantis",8108
"155",2021,7,31,"god",5742
"156",2021,8,5,"biden",79678
"157",2021,8,5,"covid",68339
"158",2021,8,5,"desantis",35406
"159",2021,8,5,"ron desantis",32926
"160",2021,8,5,"fauci",18627
"161",2021,8,9,"covid",55314
"162",2021,8,9,"obama",44792
"163",2021,8,9,"siti sarah",29218
"164",2021,8,9,"rand paul",24392
"165",2021,8,9,"biden",22295
"166",2021,8,10,"covid",79818
"167",2021,8,10,"ron desantis",42323
"168",2021,8,10,"biden",38427
"169",2021,8,10,"desantis",29726
"170",2021,8,10,"obama",22764
"171",2021,8,12,"covid",84933
"172",2021,8,12,"rand paul",64380
"173",2021,8,12,"biden",31376
"174",2021,8,12,"ron johnson",17197
"175",2021,8,12,"desantis",13227
"176",2021,8,13,"covid",78329
"177",2021,8,13,"rand paul",40274
"178",2021,8,13,"biden",30522
"179",2021,8,13,"desantis",19924
"180",2021,8,13,"ron desantis",13203
"181",2021,8,14,"covid",54000
"182",2021,8,14,"biden",27325
"183",2021,8,14,"ron desantis",20570
"184",2021,8,14,"god",18453
"185",2021,8,14,"desantis",16214
"186",2021,8,15,"covid",39787
"187",2021,8,15,"biden",34068
"188",2021,8,15,"trump",9174
"189",2021,8,15,"fauci",8941
"190",2021,8,15,"covid-19",8907
"191",2021,8,17,"greg abbott",78313
"192",2021,8,17,"covid",55915
"193",2021,8,17,"biden",29905
"194",2021,8,17,"abbott",27727
"195",2021,8,17,"trump",13582
"196",2021,8,18,"greg abbott",116672
"197",2021,8,18,"covid",78258
"198",2021,8,18,"biden",45774
"199",2021,8,18,"abbott",29351
"200",2021,8,18,"ron desantis",17771
"201",2021,8,19,"covid",60760
"202",2021,8,19,"biden",42442
"203",2021,8,19,"greg abbott",19481
"204",2021,8,19,"trump",16952
"205",2021,8,19,"desantis",14858
"206",2021,8,20,"covid",59426
"207",2021,8,20,"dan patrick",19583
"208",2021,8,20,"biden",17775
"209",2021,8,20,"god",16897
"210",2021,8,20,"greg abbott",15669
"211",2021,8,21,"covid",49657
"212",2021,8,21,"trump",13571
"213",2021,8,21,"god",12647
"214",2021,8,21,"biden",10889
"215",2021,8,21,"dan patrick",7755
"216",2021,8,27,"covid",52930
"217",2021,8,27,"biden",40952
"218",2021,8,27,"desantis",15432
"219",2021,8,27,"trump",12365
"220",2021,8,27,"ron desantis",12289
"221",2021,8,28,"covid",61673
"222",2021,8,28,"biden",22966
"223",2021,8,28,"desantis",16315
"224",2021,8,28,"ron desantis",13877
"225",2021,8,28,"caleb wallace",10244
"226",2021,9,15,"covid",48017
"227",2021,9,15,"biden",27664
"228",2021,9,15,"newsom",16969
"229",2021,9,15,"gavin newsom",12765
"230",2021,9,15,"fauci",11872
"231",2021,9,23,"covid",43297
"232",2021,9,23,"biden",16297
"233",2021,9,23,"fauci",10518
"234",2021,9,23,"trump",8362
"235",2021,9,23,"god",4313
"236",2021,9,24,"covid",37440
"237",2021,9,24,"biden",31336
"238",2021,9,24,"ana navarro",10404
"239",2021,9,24,"sunny hostin",7843
"240",2021,9,24,"narendra modi",7326
"241",2021,9,25,"covid",29305
"242",2021,9,25,"biden",18478
"243",2021,9,25,"kelly price",9700
"244",2021,9,25,"jimin",8081
"245",2021,9,25,"andrew wiggins",7869
"246",2021,10,6,"covid",22200
"247",2021,10,6,"lisa",12816
"248",2021,10,6,"biden",11271
"249",2021,10,6,"johnson",5395
"250",2021,10,6,"justin trudeau",3865
"251",2021,10,26,"covid",31264
"252",2021,10,26,"biden",18838
"253",2021,10,26,"fauci",11137
"254",2021,10,26,"trump",8758
"255",2021,10,26,"murphy",7047
"256",2021,10,27,"covid",29193
"257",2021,10,27,"biden",15961
"258",2021,10,27,"trump",13303
"259",2021,10,27,"fauci",9376
"260",2021,10,27,"bolsonaro",7698
"261",2021,10,29,"covid",38197
"262",2021,10,29,"biden",18526
"263",2021,10,29,"richard burr",14116
"264",2021,10,29,"ron desantis",12092
"265",2021,10,29,"god",6388
"266",2021,10,30,"covid",26916
"267",2021,10,30,"biden",15381
"268",2021,10,30,"unquesti",7057
"269",2021,10,30,"god",5001
"270",2021,10,30,"ron desantis",4800
"271",2021,11,1,"jen psaki",37156
"272",2021,11,1,"covid",31721
"273",2021,11,1,"biden",22575
"274",2021,11,1,"psaki",8825
"275",2021,11,1,"boris johnson",7297
"276",2021,11,2,"covid",30582
"277",2021,11,2,"david attenborough",26472
"278",2021,11,2,"boris johnson",21959
"279",2021,11,2,"biden",13316
"280",2021,11,2,"marjorie taylor greene",8458
"281",2021,11,3,"grief",40782
"282",2021,11,3,"covid",32249
"283",2021,11,3,"aaron rodgers",29005
"284",2021,11,3,"biden",15586
"285",2021,11,3,"rodgers",11817
"286",2021,11,4,"biden",50660
"287",2021,11,4,"covid",27222
"288",2021,11,4,"paterson",18462
"289",2021,11,4,"fauci",18367
"290",2021,11,4,"joe biden",15288
"291",2021,11,5,"biden",61234
"292",2021,11,5,"aaron rodgers",47473
"293",2021,11,5,"covid",37380
"294",2021,11,5,"fauci",15448
"295",2021,11,5,"joe biden",14118
"296",2021,11,6,"biden",52501
"297",2021,11,6,"aaron rodgers",47058
"298",2021,11,6,"covid",41986
"299",2021,11,6,"rodgers",12547
"300",2021,11,6,"joe rogan",9844
"301",2021,11,7,"biden",42063
"302",2021,11,7,"aaron rodgers",28313
"303",2021,11,7,"covid",24368
"304",2021,11,7,"joe rogan",10672
"305",2021,11,7,"joe biden",7531
"306",2021,11,8,"covid",32243
"307",2021,11,8,"aaron rodgers",28966
"308",2021,11,8,"biden",27802
