"","Year","Month","Day","Text","Count"
"1",2020,2,29,"coronavirus",366794
"2",2020,2,29,"democrats",90790
"3",2020,2,29,"americans",67294
"4",2020,2,29,"chinese",46323
"5",2020,2,29,"american",32624
"6",2020,7,17,"covid-19",92036
"7",2020,7,17,"americans",52278
"8",2020,7,17,"coronavirus",48193
"9",2020,7,17,"ci",36370
"10",2020,7,17,"chinese",30551
"11",2020,12,17,"covid-19",92410
"12",2020,12,17,"covid",76101
"13",2020,12,17,"americans",74028
"14",2020,12,17,"republicans",24382
"15",2020,12,17,"american",21583
"16",2020,12,22,"covid-19",116154
"17",2020,12,22,"covid",109952
"18",2020,12,22,"american",74142
"19",2020,12,22,"grey’s anatomy",66581
"20",2020,12,22,"americans",64564
"21",2021,1,23,"covid-19",82827
"22",2021,1,23,"covid",52825
"23",2021,1,23,"covid19",30682
"24",2021,1,23,"americans",23517
"25",2021,1,23,"fauci ouchie",13096
"26",2021,2,3,"covid",105274
"27",2021,2,3,"republicans",95895
"28",2021,2,3,"covid-19",63452
"29",2021,2,3,"americans",42903
"30",2021,2,3,"republican",35251
"31",2021,2,5,"covid-19",64295
"32",2021,2,5,"covid",45711
"33",2021,2,5,"americans",44677
"34",2021,2,5,"republicans",22680
"35",2021,2,5,"democrats",22537
"36",2021,2,8,"covid-19",54592
"37",2021,2,8,"americans",49505
"38",2021,2,8,"covid",32821
"39",2021,2,8,"super bowl",32640
"40",2021,2,8,"supeâ€¦",28152
"41",2021,2,20,"covid-19",44834
"42",2021,2,20,"covid",43701
"43",2021,2,20,"americans",19060
"44",2021,2,20,"british",13586
"45",2021,2,20,"covid19",11275
"46",2021,4,23,"covid-19",98662
"47",2021,4,23,"covid",77312
"48",2021,4,23,"covid19",36631
"49",2021,4,23,"indian",31090
"50",2021,4,23,"americans",14041
"51",2021,5,1,"covid",98170
"52",2021,5,1,"covid-19",56442
"53",2021,5,1,"covid19",32232
"54",2021,5,1,"indian",24846
"55",2021,5,1,"indians",11041
"56",2021,5,9,"covid-19",57379
"57",2021,5,9,"covid",55391
"58",2021,5,9,"covid19",28341
"59",2021,5,9,"indian",18171
"60",2021,5,9,"chinese",17891
"61",2021,5,11,"covid-19",50206
